STXS		 DD 		 DN 		 ND 		 NN 		 NU 		 UN 		 UU
100 		0.83,	 	0.82,	 	1.01,	 	1.00,	 	0.99,	 	1.19,	 	1.18,	 
101 		0.80,	 	0.80,	 	1.01,	 	1.00,	 	1.00,	 	1.23,	 	1.22,	 
102 		0.78,	 	0.79,	 	1.00,	 	1.00,	 	1.01,	 	1.24,	 	1.24,	 
103 		0.87,	 	0.84,	 	1.04,	 	1.00,	 	0.97,	 	1.17,	 	1.14,	 
104 		0.85,	 	0.83,	 	1.03,	 	1.00,	 	0.97,	 	1.19,	 	1.16,	 
105 		0.82,	 	0.80,	 	1.02,	 	1.00,	 	0.99,	 	1.22,	 	1.20,	 
106 		0.75,	 	0.76,	 	0.99,	 	1.00,	 	1.01,	 	1.27,	 	1.29,	 
107 		0.70,	 	0.74,	 	0.94,	 	1.00,	 	1.06,	 	1.31,	 	1.39,	 
108 		0.84,	 	0.82,	 	1.03,	 	1.00,	 	0.98,	 	1.20,	 	1.17,	 
109 		0.81,	 	0.79,	 	1.02,	 	1.00,	 	0.99,	 	1.23,	 	1.21,	 
110 		0.75,	 	0.76,	 	0.99,	 	1.00,	 	1.02,	 	1.27,	 	1.29,	 
111 		0.70,	 	0.74,	 	0.94,	 	1.00,	 	1.06,	 	1.30,	 	1.39,	 
