STXS		 DD 		 DN 		 ND 		 NN 		 NU 		 UN 		 UU
100 		110057.84,	 	110848.18,	 	90558.30,	 	91330.00,	 	91908.27,	 	76681.57,	 	77171.75,	 
101 		6604.66,	 	6629.11,	 	5229.95,	 	5272.00,	 	5287.57,	 	4298.47,	 	4324.57,	 
102 		9232.27,	 	9164.41,	 	7213.32,	 	7195.00,	 	7148.55,	 	5799.34,	 	5781.28,	 
103 		662005.50,	 	684499.06,	 	555287.38,	 	576176.00,	 	593559.38,	 	491678.88,	 	507197.09,	 
104 		151716.94,	 	156209.69,	 	124921.25,	 	129104.00,	 	132425.06,	 	108626.19,	 	111578.88,	 
105 		98987.56,	 	100934.69,	 	79085.31,	 	80884.00,	 	82112.69,	 	66436.69,	 	67555.06,	 
106 		17999.88,	 	17805.38,	 	13646.19,	 	13514.00,	 	13316.75,	 	10600.06,	 	10456.56,	 
107 		4741.25,	 	4468.62,	 	3504.88,	 	3302.00,	 	3111.94,	 	2527.12,	 	2381.94,	 
108 		24245.88,	 	24896.62,	 	19729.56,	 	20320.00,	 	20771.62,	 	16938.69,	 	17341.19,	 
109 		49834.38,	 	50598.50,	 	39494.12,	 	40197.00,	 	40633.31,	 	32801.75,	 	33211.75,	 
110 		27611.88,	 	27262.75,	 	21053.56,	 	20822.00,	 	20498.44,	 	16424.50,	 	16193.62,	 
111 		16806.75,	 	15783.50,	 	12443.88,	 	11684.00,	 	10989.75,	 	8958.06,	 	8428.12,	 
